sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Model–view–viewmodel,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
JavaScript,0.631578947368421,0.31602564102564107,19,2,5,0.38461538461538464,0.2226978516941605
Apache Cordova,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Single-page application,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Directive (programming),1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Model–view–controller,1.0,0.05128205128205128,2,2,3,0.07692307692307693,0.02153196321155368
Intel,1.0,0.04807692307692308,2,2,3,0.07692307692307693,0.020343504180805185
Open-source software,0.53125,0.10412393162393166,16,2,5,0.11538461538461539,0.05386162817576402
Rich Internet application,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Web framework,0.75,0.07974358974358975,5,2,4,0.15384615384615385,0.0320992207693001
HTML attribute,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
JSON,0.5833333333333334,0.09538461538461539,6,2,5,0.07692307692307693,0.036881652452132305
HTML,0.4583333333333333,0.17865384615384614,15,2,5,0.11538461538461539,0.11855186285297058
AngularJS,0,0,0,0,0,0.07692307692307693,0.022902399074021983
NBC,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Wolfram Alpha,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
MEAN (software bundle),0.375,0.046153846153846156,2,2,3,0.07692307692307693,0.020214630461815156
Sprint Corporation,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Express.js,0.375,0.046153846153846156,2,2,3,0.07692307692307693,0.020214630461815156
Libscore,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Software testing,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
ABC News,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
Google,0.53125,0.10412393162393162,16,2,5,0.11538461538461539,0.05386162817576402
Variable (computer science),1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
MongoDB,0.5,0.05692307692307692,5,2,4,0.11538461538461539,0.023651133835070608
Node.js,0.4338235294117647,0.19775641025641025,17,2,5,0.15384615384615385,0.1182941154149905
Walgreens,1.0,0.038461538461538464,1,2,2,0.038461538461538464,0.0167781270885597
